"submissionID","submitterID","marker","referenceDB","referenceDB_simplified","pipeline","error_rate_tool","ASV.OTU","tax_assign_cat","otu_seq_comp_appr","tax_class_id_cutoff","tax_class_evalue","tax_class_query_cutoff","tax_class_collapse","screen_other"
"submitter75_12S_TerrimporterVert_MetaWorksOTU","submitter75","12S","TerrimporterVert","TerrimporterVert","MetaWorksOTU","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_16S_16SCRABSCustom_MetaWorksASV","submitter75","16S","16SCRABSCustom","NCBI","MetaWorksASV","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_16S_16SAllFishDez2023_MetaWorksASV","submitter75","16S","16SAllFishDez2023","16SAllFishDez2023","MetaWorksASV","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_16S_16SCRABSCustom_MetaWorksOTU","submitter75","16S","16SCRABSCustom","NCBI","MetaWorksOTU","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_16S_16SAllFishDez2023_MetaWorksOTU","submitter75","16S","16SAllFishDez2023","16SAllFishDez2023","MetaWorksOTU","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_COI_COICRABSCustom_MetaWorksASV","submitter75","COI","COICRABSCustom","NCBI","MetaWorksASV","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_COI_COICRABSCustom_MetaWorksASVPseudogenefiltering","submitter75","COI","COICRABSCustom","NCBI","MetaWorksASVPseudogenefiltering","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,"YES"
"submitter75_COI_COICRABSCustom_MetaWorksOTU","submitter75","COI","COICRABSCustom","NCBI","MetaWorksOTU","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_COI_COICRABSCustom_MetaWorksOTUPseudogenefiltering","submitter75","COI","COICRABSCustom","NCBI","MetaWorksOTUPseudogenefiltering","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,"YES"
"submitter35_COI_CRUXcustom_DADA2","submitter35","COI","CRUXcustom","CRUXcustom","DADA2","dada2","ASV","other","bowtie2-blca",NA,NA,NA,"BLCA",NA
"submitter28_12S_12SAllFishDez2023_PipeCraft2 DADA2 ASV","submitter28","12S","12SAllFishDez2023","12SAllFishDez2023","PipeCraft2 DADA2 ASV","dada2","ASV","sequence similarity","blastn",NA,0.001,NA,NA,NA
"submitter28_12S_12SAllFishDez2023_PipeCraft2 DADA2 OTU","submitter28","12S","12SAllFishDez2023","12SAllFishDez2023","PipeCraft2 DADA2 OTU","dada2","OTU","sequence similarity","blastn",NA,0.001,NA,"LULU",NA
"submitter28_16S_16SAllFishDez2023_PipeCraft2 DADA2 ASV","submitter28","16S","16SAllFishDez2023","16SAllFishDez2023","PipeCraft2 DADA2 ASV","dada2","ASV","sequence similarity","blastn",NA,0.001,NA,NA,NA
"submitter28_16S_16SAllFishDez2023_PipeCraft2 DADA2 OTU","submitter28","16S","16SAllFishDez2023","16SAllFishDez2023","PipeCraft2 DADA2 OTU","dada2","OTU","sequence similarity","blastn",NA,0.001,NA,"LULU",NA
"submitter28_16S_COIMetazoa_PipeCraft2 DADA2 ASV","submitter28","16S","COIMetazoa","COIMetazoa","PipeCraft2 DADA2 ASV","dada2","ASV","sequence similarity","blastn",NA,0.001,NA,NA,NA
"submitter28_COI_COIMetazoa_PipeCraft2 DADA2 OTU","submitter28","COI","COIMetazoa","COIMetazoa","PipeCraft2 DADA2 OTU","dada2","OTU","sequence similarity","blastn",NA,0.001,NA,"LULU",NA
"submitter48_12S_12SAllFishDez2023_SEED2","submitter48","12S","12SAllFishDez2023","12SAllFishDez2023","SEED2","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA
"submitter48_12S_NCBI_SEED2","submitter48","12S","NCBI","NCBI","SEED2","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA
"submitter48_16S_16SAllFishDez2023_SEED2","submitter48","16S","16SAllFishDez2023","16SAllFishDez2023","SEED2","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA
"submitter48_16S_NCBI_SEED2","submitter48","16S","NCBI","NCBI","SEED2","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA
"submitter48_COI_COIMetazoaSep2024wormstax_SEED2","submitter48","COI","COIMetazoaSep2024wormstax","COIMetazoa","SEED2","SEED2","OTU","sequence similarity","blastn",NA,NA,NA,NA,NA
"submitter43_16S_16SAllFishDez2023_inhousepipeline","submitter43","16S","16SAllFishDez2023","16SAllFishDez2023","inhousepipeline","vsearch","OTU","sequence composition","rdp",0.8,NA,NA,NA,NA
"submitter58_COI_COIMetazoa_Anacapa100","submitter58","COI","COIMetazoa","COIMetazoa","Anacapa100","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA
"submitter58_COI_COIMetazoa_Anacapa40","submitter58","COI","COIMetazoa","COIMetazoa","Anacapa40","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA
"submitter58_COI_COIMetazoa_Anacapa50","submitter58","COI","COIMetazoa","COIMetazoa","Anacapa50","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA
"submitter58_COI_COIMetazoa_Anacapa60","submitter58","COI","COIMetazoa","COIMetazoa","Anacapa60","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA
"submitter58_COI_COIMetazoa_Anacapa80","submitter58","COI","COIMetazoa","COIMetazoa","Anacapa80","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA
"submitter58_COI_COIMetazoa_Anacapa90","submitter58","COI","COIMetazoa","COIMetazoa","Anacapa90","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA
"submitter58_COI_COIMetazoa_Anacapa95","submitter58","COI","COIMetazoa","COIMetazoa","Anacapa95","dada2","ASV","other","bowtie2-blca",NA,NA,NA,NA,NA
