"entryID","submissionID","submitterID","marker","referenceDB","pipeline","sampleID","PC1","PC2"
"adamBennett_12S_12SAllFishDez2023_minderoo_A","adamBennett_12S_12SAllFishDez2023_minderoo","adamBennett","12S","12SAllFishDez2023","minderoo","A",-0.233142176480896,-0.0499382702015111
"adamBennett_12S_12SAllFishDez2023_minderoo_B","adamBennett_12S_12SAllFishDez2023_minderoo","adamBennett","12S","12SAllFishDez2023","minderoo","B",-0.233138497211578,-0.0259526149224805
"adamBennett_12S_12SAllFishDez2023_minderoo_C","adamBennett_12S_12SAllFishDez2023_minderoo","adamBennett","12S","12SAllFishDez2023","minderoo","C",-0.237531745835809,-0.0403913096258701
"aurelieBonin_12S_12SAllFishDez2023_OBITools_A","aurelieBonin_12S_12SAllFishDez2023_OBITools","aurelieBonin","12S","12SAllFishDez2023","OBITools","A",0.19268900520115,0.312279176810599
"aurelieBonin_12S_12SAllFishDez2023_OBITools_B","aurelieBonin_12S_12SAllFishDez2023_OBITools","aurelieBonin","12S","12SAllFishDez2023","OBITools","B",0.188947826760056,0.351113822868297
"aurelieBonin_12S_12SAllFishDez2023_OBITools_C","aurelieBonin_12S_12SAllFishDez2023_OBITools","aurelieBonin","12S","12SAllFishDez2023","OBITools","C",0.163565081729419,0.34589425938037
"chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified_A","chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified","chrisHempel","12S","12SAllFishDez2023MIDORI2","ApscaleModified","A",0.317024826425672,0.3101001295561
"chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified_B","chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified","chrisHempel","12S","12SAllFishDez2023MIDORI2","ApscaleModified","B",0.304914002676643,0.26819355387943
"chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified_C","chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified","chrisHempel","12S","12SAllFishDez2023MIDORI2","ApscaleModified","C",0.345620227224725,0.31429158038045
"chrisHempel_12S_12SAllFishDez2023_ApscaleModified_A","chrisHempel_12S_12SAllFishDez2023_ApscaleModified","chrisHempel","12S","12SAllFishDez2023","ApscaleModified","A",0.314128256735721,-0.273667358407496
