"submissionID","submitterID","marker","referenceDB","pipeline","sampleID","specnumber","shannon","simpson","hillq0","hillq1","hillq15","richness","TP_residents","TP_all","FN","FP","sensitivity_all","sensitivity_residents","fmeasure_all","fmeasure_resident"
"EvanMorien_12S_NCBILCABestHit_DADA2","EvanMorien","12S","NCBILCABestHit","DADA2","C",32,2.54929135158551,0.875631747000333,32,12.7980312638659,9.65980010678381,32,26,27,34,5,0.442622950819672,0.433333333333333,0.580645161290323,0.571428571428571
"EvanMorien_12S_NCBILCA_DADA2","EvanMorien","12S","NCBILCA","DADA2","A",10,1.94783184289104,0.826096693821562,10,7.01346479030865,6.24292961102398,10,8,9,52,1,0.147540983606557,0.133333333333333,0.253521126760563,0.231884057971014
"EvanMorien_12S_NCBILCA_DADA2","EvanMorien","12S","NCBILCA","DADA2","B",9,1.73097914048438,0.76983478932003,9,5.64617960580399,4.86017961404566,9,7,8,53,1,0.131147540983607,0.116666666666667,0.228571428571429,0.205882352941176
"EvanMorien_12S_NCBILCA_DADA2","EvanMorien","12S","NCBILCA","DADA2","C",10,1.81917051340916,0.799930450280101,10,6.1667410987393,5.42640103910312,10,8,9,52,1,0.147540983606557,0.133333333333333,0.253521126760563,0.231884057971014
"EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","A",9,1.40580385484316,0.626524947037768,9,4.07880419029708,3.15798098165211,9,6,8,54,1,0.129032258064516,0.1,0.225352112676056,0.17910447761194
"EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","B",9,1.29845417968479,0.57924271218043,9,3.6636289760329,2.79152891268934,9,6,7,54,2,0.114754098360656,0.1,0.2,0.176470588235294
"EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","C",8,1.29214093102607,0.584439816743024,8,3.64057243273997,2.82080900366329,8,4,6,56,2,0.0967741935483871,0.0666666666666667,0.171428571428571,0.121212121212121
"EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","A",28,2.52957001043259,0.875833867763191,28,12.548109420344,9.62191913936157,28,22,24,38,4,0.387096774193548,0.366666666666667,0.533333333333333,0.511627906976744
"EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","B",29,2.4798324998669,0.863573553029819,29,11.9392644219742,8.89108992741091,29,23,24,37,5,0.39344262295082,0.383333333333333,0.533333333333333,0.522727272727273
"EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","C",26,2.3824380797303,0.856010151036171,26,10.8312782181348,8.25373364938845,26,19,21,41,5,0.338709677419355,0.316666666666667,0.477272727272727,0.452380952380952
"EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","A",11,1.91620934895054,0.798468364197531,11,6.79515153934554,5.70487191893635,11,10,11,50,0,0.180327868852459,0.166666666666667,0.305555555555556,0.285714285714286
"EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","B",12,1.83585687924406,0.773184596284275,12,6.2705049095657,5.09808978603881,12,10,11,50,1,0.180327868852459,0.166666666666667,0.301369863013699,0.28169014084507
"EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","C",10,1.79275696901915,0.764894794481111,10,6.00598798475686,4.94241590043644,10,8,9,52,1,0.147540983606557,0.133333333333333,0.253521126760563,0.231884057971014
"EvanMorien_COI_COIMetazoa_DADA2","EvanMorien","COI","COIMetazoa","DADA2","A",17,1.94514890783959,0.77433103282412,17,6.99467333918408,5.30746412395541,17,10,10,50,7,0.166666666666667,0.166666666666667,0.25974025974026,0.25974025974026
"EvanMorien_COI_COIMetazoa_DADA2","EvanMorien","COI","COIMetazoa","DADA2","B",14,1.64124531847122,0.680527330204352,14,5.16159333907549,3.7878569840997,14,8,8,52,6,0.133333333333333,0.133333333333333,0.216216216216216,0.216216216216216
"EvanMorien_COI_COIMetazoa_DADA2","EvanMorien","COI","COIMetazoa","DADA2","C",14,1.40533472820226,0.548511377912018,14,4.07689116334942,2.73339382754242,14,9,9,51,5,0.15,0.15,0.243243243243243,0.243243243243243
"EvanMorien_COI_NCBILCABestHit_DADA2","EvanMorien","COI","NCBILCABestHit","DADA2","A",18,1.99860824640684,0.805804869801733,18,7.37877950645596,5.88784907835875,18,13,13,47,5,0.216666666666667,0.216666666666667,0.333333333333333,0.333333333333333
"EvanMorien_COI_NCBILCABestHit_DADA2","EvanMorien","COI","NCBILCABestHit","DADA2","B",15,1.79810236063339,0.757875708987696,15,6.03817830084023,4.7663417726074,15,11,11,49,4,0.183333333333333,0.183333333333333,0.293333333333333,0.293333333333333
"EvanMorien_COI_NCBILCABestHit_DADA2","EvanMorien","COI","NCBILCABestHit","DADA2","C",15,1.62454844967956,0.672283910670437,15,5.07612639309754,3.67406785115993,15,12,12,48,3,0.2,0.2,0.32,0.32
"EvanMorien_COI_NCBILCA_DADA2","EvanMorien","COI","NCBILCA","DADA2","A",7,0.906402100529658,0.402791759617097,7,2.47540025102011,1.91439655708746,7,4,4,56,3,0.0666666666666667,0.0666666666666667,0.119402985074627,0.119402985074627
"EvanMorien_COI_NCBILCA_DADA2","EvanMorien","COI","NCBILCA","DADA2","B",5,0.682133935538336,0.304084716761363,5,1.97809435747472,1.59355396989774,5,3,3,57,2,0.05,0.05,0.0923076923076923,0.0923076923076923
"EvanMorien_COI_NCBILCA_DADA2","EvanMorien","COI","NCBILCA","DADA2","C",6,0.558863753535961,0.233904844997882,6,1.74868443453818,1.42139331117509,6,4,4,56,2,0.0666666666666667,0.0666666666666667,0.121212121212121,0.121212121212121
"FrankPanitz_12S_MifishDez2023_MiFish","FrankPanitz","12S","MifishDez2023","MiFish","A",28,2.44763177383713,0.863644113133563,28,11.5609353642938,8.78672821151246,28,17,19,43,9,0.306451612903226,0.283333333333333,0.422222222222222,0.395348837209302
"FrankPanitz_12S_MifishDez2023_MiFish","FrankPanitz","12S","MifishDez2023","MiFish","B",30,2.50828482700286,0.871897810295703,30,12.2838430658303,9.32014058936713,30,19,20,41,10,0.327868852459016,0.316666666666667,0.43956043956044,0.426966292134831
"FrankPanitz_12S_MifishDez2023_MiFish","FrankPanitz","12S","MifishDez2023","MiFish","C",26,2.45536780446399,0.875862580551404,26,11.6507179469904,9.30163132660906,26,19,20,41,6,0.327868852459016,0.316666666666667,0.459770114942529,0.447058823529412
"FrankPanitz_12S_mifishdbv3.83_MiFish","FrankPanitz","12S","mifishdbv3.83","MiFish","A",27,2.30858323528768,0.830169349649869,27,10.0601616716969,7.22932902955531,27,18,20,42,7,0.32258064516129,0.3,0.449438202247191,0.423529411764706
"FrankPanitz_12S_mifishdbv3.83_MiFish","FrankPanitz","12S","mifishdbv3.83","MiFish","B",28,2.35395968791339,0.838825623161723,28,10.5271716193344,7.58811794639332,28,20,21,40,7,0.344262295081967,0.333333333333333,0.471910112359551,0.459770114942529
"FrankPanitz_12S_mifishdbv3.83_MiFish","FrankPanitz","12S","mifishdbv3.83","MiFish","C",24,2.29210475639032,0.845800443174074,24,9.89574390769979,7.62588191907637,24,19,20,41,4,0.327868852459016,0.316666666666667,0.470588235294118,0.457831325301205
"geraldinePascal_12S_12SAllFishDez2023_frogsDADA2","geraldinePascal","12S","12SAllFishDez2023","frogsDADA2","A",23,2.49313715659191,0.875778114917831,23,12.0991736464881,9.5476616678786,23,13,15,47,8,0.241935483870968,0.216666666666667,0.352941176470588,0.320987654320988
